qt5-location 5.15.16+kde+r7-3
qt5-quickcontrols 5.15.16-3
qt5-quickcontrols2 5.15.16+kde+r5-3
qt5-svg 5.15.16+kde+r5-3
qt5-translations 5.15.16-3
qt5-wayland 5.15.16+kde+r59-3
qt5-webchannel 5.15.16+kde+r3-3
qt5-webengine 5.15.18-5
qt5-x11extras 5.15.16-3
qt6-5compat 6.8.1-1
qt6-base 6.8.1-1
qt6-declarative 6.8.1-2
qt6-shadertools 6.8.1-1
qt6-svg 6.8.1-1
qt6-translations 6.8.1-1
qt6-wayland 6.8.1-1
qtile 0.29.0-2
radeontop 1.4-3
ranger 1.9.4-3
rapidjson 1.1.0-6
rar 7.01-1
rav1e 0.7.1-1
readline 8.2.013-1
recordmydesktop 0.4.0-3
rider 1:2024.3.3-1
ripgrep 14.1.1-1
rnnoise 1:0.2-1
rocm-core 6.2.4-2
rocm-device-libs 6.2.4-1
rocm-smi-lib 6.2.4-1
rofi 1.7.7-1
rsync 3.3.0-2
rtkit 0.13-3
rubberband 4.0.0-1
run-parts 5.17-1
runc 1.2.4-1
sddm 0.21.0-6
sddm-theme-sugar-candy-git r41.a1fae51-1
sdl2 2.30.11-1
seatd 0.9.1-1
sed 4.9-3
semver 7.6.3-1
shaderc 2024.3-2
shadow 4.16.0-1
shared-mime-info 2.4-1
slang 2.3.3-3
snappy 1.2.1-2
solid 6.9.1-2
sound-theme-freedesktop 0.8-6
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 2024.4.rc1-1
sqlite 3.47.2-1
srt 1.5.4-1
startup-notification 0.12-8
steam 1.0.0.81-2
stremio 4.4.168-2
sudo 1.9.16.p2-2
suitesparse 7.8.3-1
svt-av1 2.3.0-1
systemd 257.2-1
systemd-libs 257.2-1
systemd-sysvcompat 257.2-1
taglib 2.0.2-1
tar 1.35-2
tcl 8.6.16-1
tdb 1.4.12-2
tesseract 5.5.0-1
tesseract-data-eng 2:4.1.0-4
tesseract-data-osd 2:4.1.0-4
texinfo 7.1.1-1
thin-provisioning-tools 1.1.0-1
thunar 4.20.1-1
timeshift 24.06.6-1
tinysparql 3.8.2-2
tk 8.6.16-1
tmux 3.5_a-1
tomcat10 10.1.34-1
tpm2-tss 4.1.3-1
trash-cli 0.24.5.26-2
tree 2.1.3-1
tree-sitter 0.24.6-1
tree-sitter-c 0.23.4-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-query 0.4.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-fira-code 6.2-2
ttf-hack 3.003-7
ttf-hack-nerd 3.3.0-1
ttf-iosevka 32.3.1-1
ttf-liberation 2.1.5-2
ttf-nerd-fonts-symbols 3.3.0-1
ttf-nerd-fonts-symbols-common 3.3.0-1
ttf-ubuntu-nerd 3.3.0-1
tzdata 2024b-2
uchardet 0.0.8-3
udiskie 2.5.7-1
udisks2 2.10.1-5
unibilium 2.1.2-1
unixodbc 2.3.12-3
unzip 6.0-21
upower 1.90.6-1
usbmuxd 1.1.1-4
usbutils 018-1
uthash 2.3.0-2
util-linux 2.40.2-3
util-linux-libs 2.40.2-3
v4l-utils 1.28.1-2
v4l2loopback-dkms 0.13.2-1
vapoursynth R70-2
vid.stab 1.1.1-2
vim 9.1.1000-1
vim-runtime 9.1.1000-1
vlc 3.0.21-11
vmaf 3.0.0-1
volume_key 0.3.12-10
volumeicon 0.5.1-7
vsqlite++ 0.3.13-9
vte-common 0.78.2-1
vte3 0.78.2-1
vulkan-headers 1:1.4.303-1
vulkan-icd-loader 1.4.303-1
vulkan-radeon 1:24.3.3-1
wayland 1.23.1-1
webkit2gtk-4.1 2.46.5-1
webrtc-audio-processing-1 1.3-3
